Geneid,Genesymbol,Genebiotype,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2
ENSG00000000003,TSPAN6,protein_coding,616,695,376,385,1062,334,353,977
ENSG00000000005,TNMD,protein_coding,0,0,0,0,0,0,0,0
ENSG00000000419,DPM1,protein_coding,4585,5125,5120,5932,3530,1143,1187,2800
ENSG00000000457,SCYL3,protein_coding,763,825,588,649,103,28,34,107
ENSG00000000460,FIRRM,protein_coding,424,546,580,545,444,175,198,487
ENSG00000000938,FGR,protein_coding,2,2,2,1,0,0,0,1
ENSG00000000971,CFH,protein_coding,0,0,1,0,3,1,0,2
ENSG00000001036,FUCA2,protein_coding,236,297,418,585,1091,366,365,926
ENSG00000001084,GCLC,protein_coding,1430,1964,1048,1033,936,301,371,1084
ENSG00000001167,NFYA,protein_coding,6567,7184,5037,5493,2568,798,778,2109
ENSG00000001460,STPG1,protein_coding,282,278,425,514,315,120,129,384
ENSG00000001461,NIPAL3,protein_coding,1666,2017,2217,2770,817,261,335,889
ENSG00000001497,LAS1L,protein_coding,2310,2454,2819,3611,424,151,230,609
ENSG00000001561,ENPP4,protein_coding,1353,1545,1242,1344,1706,560,513,1524
ENSG00000001617,SEMA3F,protein_coding,1233,1194,757,985,272,96,167,424
ENSG00000001626,CFTR,protein_coding,6,2,10,15,0,0,0,2
ENSG00000001629,ANKIB1,protein_coding,2469,2859,2494,2749,1303,413,466,1265
ENSG00000001630,CYP51A1,protein_coding,125,166,172,195,100,28,41,103
ENSG00000001631,KRIT1,protein_coding,653,779,732,749,254,90,97,294
ENSG00000002016,RAD52,protein_coding,505,661,664,775,176,45,76,201
ENSG00000002330,BAD,protein_coding,655,717,540,1190,300,104,164,321
ENSG00000002549,LAP3,protein_coding,2171,2519,3838,5070,755,244,333,962
ENSG00000002586,CD99,protein_coding,8472,10236,7187,9435,3946,1454,1172,3055
ENSG00000002587,HS3ST1,protein_coding,75,93,249,430,59,17,16,42
ENSG00000002726,AOC1,protein_coding,4,4,3,4,1,0,0,0
ENSG00000002745,WNT16,protein_coding,0,0,0,0,0,0,0,0
ENSG00000002746,HECW1,protein_coding,0,3,1,1,17,8,10,45
ENSG00000002822,MAD1L1,protein_coding,1,5,2,2,1,3,3,6
ENSG00000002834,LASP1,protein_coding,4506,5080,4658,5493,7807,2710,3012,7976
ENSG00000002919,SNX11,protein_coding,336,346,357,557,419,141,164,431
ENSG00000002933,TMEM176A,protein_coding,0,0,0,0,0,0,0,0
ENSG00000003056,M6PR,protein_coding,2671,2992,2857,3376,2898,1091,1387,3267
ENSG00000003096,KLHL13,protein_coding,69,92,121,211,276,86,119,279
ENSG00000003137,CYP26B1,protein_coding,52,86,32,35,615,182,188,470
ENSG00000003147,ICA1,protein_coding,2688,2872,2793,3628,35,20,16,68
